,2020-03-13,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05
0-9,10,12,13,12,13,13,13,13,13,13,13,13,15,15,17,18,19,21,21,23,27,32,34,38,47,58,60,63,63,66,69,72,75,80,81,82,84,87,89,93,95,104,108,111,116,120,126,135,139,143,155,168
10-19,30,33,33,33,35,35,35,35,35,37,40,40,40,41,42,46,48,48,53,63,74,82,90,102,114,129,135,150,156,162,167,172,181,187,198,209,215,224,234,244,252,266,273,284,298,313,326,336,345,347,363,378
20-29,134,140,142,146,148,153,161,165,167,172,179,188,196,206,222,237,255,276,300,328,386,423,466,510,582,607,640,678,706,738,763,796,826,860,878,903,932,960,986,1011,1031,1064,1093,1112,1139,1160,1188,1227,1244,1265,1287,1308
30-39,135,143,147,156,162,170,184,191,193,203,211,223,239,260,279,289,315,355,394,433,492,545,594,643,708,745,763,788,823,846,877,898,920,945,971,992,1014,1046,1075,1095,1113,1140,1162,1181,1199,1230,1262,1284,1302,1315,1339,1368
40-49,253,284,294,305,325,345,362,375,386,402,420,436,454,486,520,544,598,660,711,765,837,890,949,1002,1062,1105,1140,1165,1188,1212,1243,1277,1315,1353,1381,1406,1419,1448,1488,1512,1545,1579,1600,1616,1644,1673,1687,1706,1719,1734,1757,1778
50-59,159,176,186,200,209,224,239,248,254,279,309,331,365,409,447,482,536,599,660,733,814,869,917,989,1073,1125,1155,1187,1220,1251,1278,1317,1369,1393,1420,1441,1457,1491,1537,1565,1588,1620,1637,1656,1682,1694,1714,1733,1755,1780,1805,1833
60-69,50,62,70,90,107,127,140,148,156,180,204,228,250,267,306,330,369,408,436,486,546,588,616,656,711,738,763,781,798,812,833,853,872,897,919,939,949,971,998,1017,1028,1054,1068,1074,1090,1106,1122,1137,1141,1155,1164,1178
70-79,5,26,39,55,70,82,100,118,132,167,192,224,261,304,331,355,388,409,436,462,490,512,534,560,586,607,620,628,642,647,664,674,681,696,708,716,728,736,751,766,776,801,806,819,825,833,842,848,851,864,871,876
80-89,7,18,28,38,51,65,77,87,98,106,124,140,158,178,194,214,240,260,286,310,331,342,355,376,395,409,422,432,448,454,468,482,493,507,524,531,545,556,577,588,593,623,628,642,649,666,673,682,685,693,701,706
90+,2,4,8,9,12,12,15,15,16,18,23,28,32,35,37,40,47,56,58,69,80,86,92,102,108,112,121,124,130,130,134,140,147,155,162,165,172,176,177,182,189,194,200,203,209,213,218,223,226,227,228,228
